"requirement_id","realtycalendar_capability","keycalendar_requirement","screen_ids","phase","readiness_criteria","source_ids","source_urls","verification","account_scope","implementation_status","task_id","test_id"
"REQ-FIN-006","Есть ручной возврат/удержание; автоматический возврат не заявлен.","Возврат и удержание залога","SCR-FIN-04","P3","Двойное нажатие не создает второй возврат | При залоге 5000 и удержании 1000 возвращается не более 4000","DOC-015 | ACC-FIN-01","https://confluence.lan.realtycalendar.ru/kb/zalog-30958547.html?selectedPageVersions=3&selectedPageVersions=4 | https://realtycalendar.ru/chessmate/","Подтверждено публичным источником; операции в аккаунте не выполнялись","Возврат, удержание, пополнение не выполнялись","not_started","TASK-FIN-006","TEST-FIN-006"
"REQ-FIN-007","Расход связан с объектами; сумма делится поровну; есть статьи и Excel.","Расходы, статьи и распределение","SCR-FIN-05","P1","Сумма трех долей всегда равна исходной сумме до копейки | Изменение статьи не теряет исторический отчет","DOC-014","https://confluence.lan.realtycalendar.ru/kb/rashody-30958622.html","Подтверждено публичным источником; операции в аккаунте не выполнялись","Не проверено в аккаунте","not_started","TASK-FIN-007","TEST-FIN-007"
"REQ-FIN-008","Комиссии учитываются в прибыли и платежных сведениях.","Комиссии каналов","SCR-FIN-06","P2","Выручка 10000 и комиссия 1500 дают отдельные столбцы 10000/1500 | Пересчитанная комиссия не создает платеж гостя","DOC-016 | DOC-028","https://confluence.lan.realtycalendar.ru/kb/statistika-finansy-i-zagruzka-48433132.html | https://confluence.lan.realtycalendar.ru/kb/podklyuchenie-monety-dlya-yur-lits-i-ip-48432578.html","Подтверждено публичным источником; операции в аккаунте не выполнялись","Не проверено в аккаунте","not_started","TASK-FIN-008","TEST-FIN-008"
"REQ-FIN-009","Поддержаны полные/частичные возвраты и чеки; их возможности зависят от подключения.","Возвраты проживания и фискальные документы","SCR-FIN-03 | SCR-FIN-07","P3","Сумма частичных возвратов не превышает исходный платеж | Ошибка чека не помечает успешный возврат денег как неуспешный","DOC-028","https://confluence.lan.realtycalendar.ru/kb/podklyuchenie-monety-dlya-yur-lits-i-ip-48432578.html","Подтверждено публичным источником; операции в аккаунте не выполнялись","Не проверено в аккаунте","not_started","TASK-FIN-009","TEST-FIN-009"
"REQ-FIN-010","Автопилот позволяет гостю приложить чек, менеджеру проверить поступление.","Подтверждение ручного перевода гостя","SCR-FIN-08","P2","Заявленная оплата оставляет остаток прежним до подтверждения | Одно заявление невозможно подтвердить повторно как новый платеж","DOC-024","https://new.realtycalendar.ru/products/autopilot","Подтверждено публичным источником; операции в аккаунте не выполнялись","Не проверено в аккаунте","not_started","TASK-FIN-010","TEST-FIN-010"
"REQ-REP-001","Отчет считает доход по ночам периода, расходы, комиссии и прибыль.","Доходы, расходы и прибыль","SCR-REP-01","P1","Бронь с ценами 1000/2000 на границе месяца дает доход по соответствующим ночам | Сумма расшифровки равна строке объекта до копейки","DOC-016 | ACC-REP-01","https://confluence.lan.realtycalendar.ru/kb/statistika-finansy-i-zagruzka-48433132.html | https://realtycalendar.ru/chessmate/","Подтверждено публичным источником; операции в аккаунте не выполнялись","Формулы, все отчёты и чеки не проверены расчётом","not_started","TASK-REP-001","TEST-REP-001"
"REQ-REP-002","В аккаунте видны показатели загрузки, ADR и среднего суточного дохода, график/таблица и фильтры.","Загрузка, ADR и RevPAR","SCR-REP-01","P1","При 120 доступных,72 занятых,144000 дохода:60%, ADR2000, RevPAR1200 | При нулевом знаменателе показан прочерк и пояснение, не Infinity","DOC-016 | ACC-REP-01","https://confluence.lan.realtycalendar.ru/kb/statistika-finansy-i-zagruzka-48433132.html | https://realtycalendar.ru/chessmate/","Проверено только указанное чтение аккаунта; изменяющие операции и целевая приемка не выполнялись","Формулы, все отчёты и чеки не проверены расчётом","not_started","TASK-REP-002","TEST-REP-002"
"REQ-REP-003","Источник используется в статистике броней, ночей, сумм и отмен.","Эффективность источников","SCR-REP-02","P2","Все строки включая Без источника суммируются в общий итог | Переключение дата создания/заезда меняет выборку и поясняет причину","DOC-004","https://confluence.lan.realtycalendar.ru/kb/istochniki-bronirovanij-30958511.html","Подтверждено публичным источником; операции в аккаунте не выполнялись","Не проверено в аккаунте","not_started","TASK-REP-003","TEST-REP-003"
"REQ-REP-004","Модуль показывает показы, уникальные показы, брони и метки.","Конверсия прямого модуля","SCR-REP-03","P2","Повтор события с event_id не удваивает просмотр | Конверсия вычисляется по подписанной методике и не превышает 100% из-за дублей","DOC-021","https://confluence.lan.realtycalendar.ru/kb/statistika-modulya-bronirovaniya-30958647.html","Подтверждено публичным источником; операции в аккаунте не выполнялись","Не проверено в аккаунте","not_started","TASK-REP-004","TEST-REP-004"
"REQ-REP-005","История оплат и задолженность доступны отдельно от стоимости броней.","Отчеты оплат и долга","SCR-REP-01","P1","Платеж сегодня за будущую бронь входит в cash-отчет сегодня | Долг на дату не зависит от текущей даты после изменения фильтра","DOC-013","https://confluence.lan.realtycalendar.ru/kb/otobrayoenie-zadolyoennosti-po-oplate-bronirovanij-30958541.html","Подтверждено публичным источником; операции в аккаунте не выполнялись","Не проверено в аккаунте","not_started","TASK-REP-005","TEST-REP-005"
"REQ-REP-007","Источник описывает различие денежных оплат/дохода и разных способов усреднения.","Словарь показателей и контроль расхождений","SCR-REP-04","P1","При неполных ночных ценах отчет помечает оценку и ее основание | Каждая метрика имеет формулу, знаменатель и список учитываемых статусов","DOC-016","https://confluence.lan.realtycalendar.ru/kb/statistika-finansy-i-zagruzka-48433132.html","Подтверждено публичным источником; операции в аккаунте не выполнялись","Не проверено в аккаунте","not_started","TASK-REP-007","TEST-REP-007"
"REQ-MSG-001","Уведомления охватывают брони, оплаты, каналы и автосообщения.","Центр уведомлений команды","SCR-MSG-01","P1","После отзыва доступа старое уведомление не раскрывает данные объекта | Повтор внешнего события создает не более одного уведомления","DOC-017","https://confluence.lan.realtycalendar.ru/kb/vidy-uvedomlenij-v-sisteme-realtysalendar-30958522.html","Подтверждено публичным источником; операции в аккаунте не выполнялись","Не проверено в аккаунте","not_started","TASK-MSG-001","TEST-MSG-001"
"REQ-MSG-002","Доставка зависит от роли и доступных объектов; пуши в RC имеют ограничения ролей.","Настройки доставки сотруднику","SCR-MSG-02","P2","Отключение email не удаляет уведомление из центра | Отсутствие browser permission имеет объяснение и рабочую альтернативу","DOC-017 | DOC-025 | ACC-007","https://confluence.lan.realtycalendar.ru/kb/vidy-uvedomlenij-v-sisteme-realtysalendar-30958522.html | https://confluence.lan.realtycalendar.ru/kb/gibkie-prava-dostupa-dlya-komandy-v-lichnyj-kabinet-realtycalendar-30958524.html | https://realtycalendar.ru/chessmate/","Подтверждено публичным источником; операции в аккаунте не выполнялись","Не проверены действием все настройки, сотрудники и платные опции","not_started","TASK-MSG-002","TEST-MSG-002"
"REQ-MSG-003","Подтверждение можно включить при сохранении брони; шаблон редактируется.","Email-подтверждение бронирования","SCR-MSG-03","P1","Сбой email не отменяет созданную бронь | Повтор с тем же idempotency key не дублирует письмо","DOC-012","https://confluence.lan.realtycalendar.ru/kb/razdel-klienty-30957160.html","Подтверждено публичным источником; операции в аккаунте не выполнялись","Не проверено в аккаунте","not_started","TASK-MSG-003","TEST-MSG-003"
"REQ-MSG-004","Есть шаблоны, переменные и варианты текста.","Шаблоны сообщений и переменные","SCR-MSG-04","P2","Предпросмотр не отправляет сообщение | Неизвестная переменная показана на месте ошибки и мешает публикации","DOC-022","https://new.realtycalendar.ru/products/avtomaticheskie-soobshcheniya","Подтверждено публичным источником; операции в аккаунте не выполнялись","Не проверено в аккаунте","not_started","TASK-MSG-004","TEST-MSG-004"
"REQ-MSG-005","Задокументированы пять этапов отправки; время выезда влияет на сценарии.","Автосообщения по этапам проживания","SCR-MSG-04","P3","Перенос заезда пересоздает расписание без второго сообщения старой даты | Отмененная бронь не получает инструкцию заселения","DOC-022 | DOC-023","https://new.realtycalendar.ru/products/avtomaticheskie-soobshcheniya | https://confluence.lan.realtycalendar.ru/kb/avtosoobshcheniya-oshibki-i-ustranenie-61375230.html","Подтверждено публичным источником; операции в аккаунте не выполнялись","Не проверено в аккаунте","not_started","TASK-MSG-005","TEST-MSG-005"
"REQ-MSG-006","Мультиканальный чат заявлен как единое окно переписки.","Общий чат и чат бронирования","SCR-MSG-05","P3","Перед отправкой видны реальный канал, получатель и бронь | Недоступный канал не отображает сообщение доставленным","DOC-022","https://new.realtycalendar.ru/products/avtomaticheskie-soobshcheniya","Подтверждено публичным источником; операции в аккаунте не выполнялись","Не проверено в аккаунте","not_started","TASK-MSG-006","TEST-MSG-006"
"REQ-MSG-007","Статусы отправки видны в карточке; SMS может быть резервом; бывают разрывы сессий.","Журнал, повтор и резервный канал","SCR-MSG-06","P3","Timeout не запускает бесконечные дубли | После окончательной ошибки создается одна задача с доступным действием","DOC-022 | DOC-023","https://new.realtycalendar.ru/products/avtomaticheskie-soobshcheniya | https://confluence.lan.realtycalendar.ru/kb/avtosoobshcheniya-oshibki-i-ustranenie-61375230.html","Подтверждено публичным источником; операции в аккаунте не выполнялись","Не проверено в аккаунте","not_started","TASK-MSG-007","TEST-MSG-007"
"REQ-MSG-008","Сообщения поддерживают платежные ссылки; условия выдачи доступа связаны с Автопилотом.","Сообщения с оплатой и приватным доступом","SCR-MSG-04","P3","Оплаченная к моменту отправки бронь не получает требование прежнего долга | Просроченный/отозванный доступ нельзя восстановить старой ссылкой","DOC-022 | DOC-024 | DOC-029","https://new.realtycalendar.ru/products/avtomaticheskie-soobshcheniya | https://new.realtycalendar.ru/products/autopilot | https://confluence.lan.realtycalendar.ru/kb/integratsiya-s-ttlock-60162112.html","Подтверждено публичным источником; операции в аккаунте не выполнялись","Не проверено в аккаунте","not_started","TASK-MSG-008","TEST-MSG-008"
"REQ-GST-009","Обзор продукта называет функцию Кто звонит; условия и механизм не раскрыты.","Определение гостя при входящем звонке","SCR-GST-02","P3","Без подключенной телефонии показан статус Недоступно и ручной поиск | При нескольких совпадениях система не присваивает звонок случайному гостю","DOC-030","https://confluence.lan.realtycalendar.ru/kb/obzornoe-video-sistemy-realtycalendar-30954636.html","Подтверждено публичным источником; операции в аккаунте не выполнялись","Не проверено в аккаунте","not_started","TASK-GST-009","TEST-GST-009"
"REQ-OPS-010","Публичная страница описывает расписание и выполнение уборок.","Расписание уборок и готовность объекта","SCR-OPS-02","P2","Повтор reservation event не создаёт вторую уборку | непринятая уборка видна как риск заезда","DOC-024","https://new.realtycalendar.ru/products/autopilot","public_page_read_account_workflow_not_tested","Не проверено в аккаунте","specified","TASK-OPS-010","TEST-OPS-010"
"REQ-OPS-011","Описаны сообщения о поломках и покупках.","Поломки, закупки и дополнительные задания","SCR-OPS-03","P2","Исполнитель видит только свои объекты | новая проблема сохраняет автора и статус","DOC-024","https://new.realtycalendar.ru/products/autopilot","public_page_read_account_workflow_not_tested","Не проверено в аккаунте","specified","TASK-OPS-011","TEST-OPS-011"
"REQ-OPS-012","Описаны рейтинг горничных и отчёт зарплаты.","Начисления и оценки уборок","SCR-OPS-05","P2","Повтор расчёта не удваивает начисление | изменение ставки не меняет утверждённый прошлый период","DOC-024","https://new.realtycalendar.ru/products/autopilot","public_page_read_account_workflow_not_tested","Не проверено в аккаунте","specified","TASK-OPS-012","TEST-OPS-012"
"REQ-OPS-013","Названы показания счётчиков.","Показания счётчиков","SCR-OPS-06","P2","Меньшее значение требует причины reset | исправление сохраняет прежнюю версию","DOC-024","https://new.realtycalendar.ru/products/autopilot","public_page_read_account_workflow_not_tested","Не проверено в аккаунте","specified","TASK-OPS-013","TEST-OPS-013"
"REQ-OPS-014","Названы инструкции уборки и смена кода сейфа.","Защищённые коды доступа и инструкции персонала","SCR-OPS-03","P2","Старый/истёкший guest token не читает код | смена пишет audit без значения","DOC-024","https://new.realtycalendar.ru/products/autopilot","public_page_read_account_workflow_not_tested","Не проверено в аккаунте","specified","TASK-OPS-014","TEST-OPS-014"
"REQ-OPS-015","Описана панель задач менеджера по брони, оплате и залогу.","Панель операционных задач менеджера","SCR-OPS-02","P2","Неполная оплата не скрывается после закрытия нерелевантной задачи | права по объектам действуют","DOC-024","https://new.realtycalendar.ru/products/autopilot","public_page_read_account_workflow_not_tested","Не проверено в аккаунте","specified","TASK-OPS-015","TEST-OPS-015"
